ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSBTAG00000000037	108.1250346	0.560809309	0.278699886	2.012233721	0.044195305	0.731267203
ENSBTAG00000000078	171.0222424	-0.726883878	0.200547646	-3.624494689	0.000289527	0.177108214
ENSBTAG00000000111	3663.91276	0.584491086	0.254065733	2.300550649	0.021417043	0.697847585
ENSBTAG00000000197	81.88223555	0.513466232	0.233405351	2.199890575	0.02781466	0.697847585
ENSBTAG00000000434	355.1940829	-0.811072602	0.263557823	-3.077399085	0.002088155	0.438021768
ENSBTAG00000000522	148745.8825	0.673047709	0.282190626	2.385081739	0.017075327	0.683936307
ENSBTAG00000000575	2022.218198	1.062088638	0.46485294	2.284784167	0.022325487	0.697847585
ENSBTAG00000000598	1343.60101	-1.208198216	0.332179367	-3.637186216	0.000275633	0.177108214
ENSBTAG00000000639	3085.819584	-0.632801024	0.249978553	-2.531421263	0.011360132	0.645846211
ENSBTAG00000000672	115.2027622	-0.609518187	0.269811833	-2.259049129	0.023880329	0.697847585
ENSBTAG00000000742	512.7809224	-0.619988411	0.21452212	-2.890090832	0.003851305	0.481599708
ENSBTAG00000000808	988.2698153	-0.627933394	0.284302477	-2.208680696	0.027196858	0.697847585
ENSBTAG00000000813	149.5181249	-0.702266692	0.308104715	-2.279311733	0.022648541	0.697847585
ENSBTAG00000000828	462.2355744	-0.708961821	0.200294974	-3.539588675	0.000400751	0.21302326
ENSBTAG00000000973	48.93677524	1.52310688	0.73665385	2.067601874	0.038677476	0.731267203
ENSBTAG00000001019	61.54755638	-1.174723986	0.321607703	-3.652661228	0.000259537	0.177108214
ENSBTAG00000001027	3349.163745	-0.585232185	0.246687695	-2.372360667	0.017674828	0.684676341
ENSBTAG00000001060	37.37147137	-0.707463354	0.342411719	-2.066118987	0.038817246	0.731267203
ENSBTAG00000001086	140.8514092	-0.943227905	0.312821205	-3.015230068	0.002567844	0.438021768
ENSBTAG00000001163	13.06843588	-1.260505107	0.640447358	-1.968163491	0.049049229	0.731267203
ENSBTAG00000001173	82.6212238	-0.70981532	0.327327556	-2.168516852	0.030119384	0.708472719
ENSBTAG00000001193	619.0884904	-0.553997102	0.258937039	-2.139505049	0.032394787	0.723314624
ENSBTAG00000001424	1792.614185	0.636149668	0.308067741	2.064966835	0.038926138	0.731267203
ENSBTAG00000001444	354.2286865	-0.797236501	0.238917301	-3.33687221	0.000847269	0.36267508
ENSBTAG00000001514	92.79194853	-0.90417381	0.379332278	-2.383593122	0.017144546	0.683936307
ENSBTAG00000001619	137.2439302	0.710902858	0.358395781	1.98356927	0.047303878	0.731267203
ENSBTAG00000001694	53.51113243	-1.217435479	0.608289619	-2.001407622	0.04534848	0.731267203
ENSBTAG00000001729	57.6302701	-0.637140119	0.284610905	-2.238635651	0.025179633	0.697847585
ENSBTAG00000001762	350.8800655	-0.693135274	0.298537104	-2.321772623	0.020245182	0.695307821
ENSBTAG00000001834	596.2343665	-0.508987153	0.252376307	-2.016778675	0.043718615	0.731267203
ENSBTAG00000001877	250.8173224	-1.150622623	0.479904852	-2.397605729	0.016502618	0.683936307
ENSBTAG00000001961	129.7950951	-0.665802891	0.293924626	-2.265216431	0.023499401	0.697847585
ENSBTAG00000001966	57.87515645	-0.693505044	0.327885349	-2.115083964	0.034422792	0.725222758
ENSBTAG00000002027	770.0694968	-0.549809186	0.23146324	-2.375362867	0.017531706	0.684676341
ENSBTAG00000002080	29.75753595	-1.091870779	0.449067042	-2.431420429	0.015039751	0.675070662
ENSBTAG00000002182	1289.890402	-0.78248143	0.357915648	-2.186217435	0.028799701	0.697847585
ENSBTAG00000002238	620.3833088	-0.611352021	0.22493609	-2.717892098	0.006569926	0.566933417
ENSBTAG00000002326	76.37995726	-0.626284007	0.283903711	-2.205973304	0.027385869	0.697847585
ENSBTAG00000002340	1665.656205	1.296176364	0.52920374	2.449295549	0.014313595	0.674515452
ENSBTAG00000002367	160.4428734	-1.084910586	0.473255499	-2.292441586	0.021880175	0.697847585
