gene.name	A549_0_1	A549_0_2	A549_0_3	A549_25_1	A549_25_2	A549_25_3	
ENSG00000223972.5	0	0	0	0	1	0
ENSG00000227232.5	11	17	22	14	17	10
ENSG00000278267.1	2	1	0	2	1	1
ENSG00000243485.5	2	0	0	0	0	0
ENSG00000284332.1	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0
ENSG00000240361.2	0	0	0	0	0	0
ENSG00000186092.6	0	0	0	0	0	0
ENSG00000238009.6	0	0	0	0	0	0
ENSG00000239945.1	0	0	0	0	0	0
ENSG00000233750.3	0	0	0	0	0	0
ENSG00000268903.1	1	1	1	4	3	0
ENSG00000269981.1	1	2	1	1	2	0
ENSG00000239906.1	1	0	1	0	0	0
ENSG00000241860.6	42	37	42	48	36	32
ENSG00000222623.1	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0
ENSG00000279928.2	16	7	14	10	8	13
ENSG00000279457.4	60	47	63	44	60	52
ENSG00000273874.1	1	1	0	1	1	0
ENSG00000228463.10	20	39	30	28	25	25
ENSG00000236679.2	0	0	0	0	0	0
ENSG00000236601.2	0	0	0	0	0	0
ENSG00000237094.12	10	9	9	8	13	5
ENSG00000269732.1	0	0	0	0	0	0
ENSG00000284733.1	0	0	0	0	0	0
ENSG00000233653.3	0	0	0	0	0	0
ENSG00000250575.1	0	0	0	0	0	0
ENSG00000278757.1	0	0	0	0	0	0
ENSG00000230021.10	4	8	2	2	2	6
ENSG00000235146.2	0	0	0	0	0	0
ENSG00000225972.1	16	8	8	13	16	7
ENSG00000225630.1	5688	5704	5645	6231	5831	5341
ENSG00000237973.1	1125	1095	987	1109	1100	902
ENSG00000278791.1	1	0	0	0	1	0
ENSG00000229344.1	110	70	70	88	79	46
ENSG00000240409.1	55	64	54	64	79	40
ENSG00000248527.1	16644	13219	14025	15109	14350	12717
ENSG00000198744.5	171	55	51	56	126	45
ENSG00000268663.1	0	0	0	0	0	0
ENSG00000284662.1	0	0	0	0	0	0
ENSG00000229376.3	0	0	0	0	0	0
ENSG00000228327.3	100	102	75	88	122	113
ENSG00000223181.1	0	0	0	0	0	0
ENSG00000229905.1	0	0	0	0	0	0
ENSG00000237491.8	25	27	23	31	30	22
ENSG00000285268.1	0	0	0	0	0	0
ENSG00000230092.7	8	3	8	9	11	4
ENSG00000177757.2	0	0	0	0	0	0
ENSG00000228794.8	704	681	687	703	661	598
ENSG00000225880.5	33	37	36	36	32	28
ENSG00000230368.2	1	0	0	0	0	0
ENSG00000234711.1	0	0	0	0	0	0
ENSG00000283040.1	0	0	0	0	0	0
ENSG00000272438.1	50	49	54	57	84	48
ENSG00000230699.2	149	125	160	148	248	120
ENSG00000241180.1	0	0	0	0	0	0
ENSG00000223764.2	1281	1015	1676	1682	1625	1014
ENSG00000187634.11	3184	2432	3775	4189	4024	2469
ENSG00000188976.10	6898	8266	7947	8114	7298	7820
ENSG00000187961.13	1324	1124	1486	1604	1309	1212
ENSG00000187583.10	364	396	386	393	368	384
ENSG00000187642.9	24	8	26	28	25	13
ENSG00000272512.1	77	77	93	91	126	75
ENSG00000188290.10	312	288	368	303	275	284
ENSG00000187608.9	334	226	216	246	301	246
ENSG00000231702.2	1	0	0	0	0	0
ENSG00000224969.1	0	1	1	0	0	0
ENSG00000188157.14	18679	17915	19456	20446	21075	18617
ENSG00000242590.1	0	0	0	0	0	0
ENSG00000217801.9	251	232	215	209	229	230
ENSG00000273443.1	18	8	13	19	13	13
ENSG00000237330.2	1	2	5	6	0	1
ENSG00000131591.17	680	642	719	791	802	682
ENSG00000285812.1	0	0	0	0	0	0
ENSG00000223823.1	0	0	0	0	0	0
ENSG00000207730.3	1	0	0	0	1	0
ENSG00000207607.3	1	3	2	0	0	0
ENSG00000198976.1	0	1	1	0	1	0
ENSG00000272141.1	6	9	4	5	7	6
ENSG00000205231.1	0	0	0	0	0	0
ENSG00000162571.13	0	0	0	0	0	0
ENSG00000186891.13	0	0	1	1	0	0
ENSG00000186827.10	4	4	5	5	2	4
ENSG00000078808.16	7478	6960	7443	7892	7311	6839
ENSG00000176022.5	1240	1201	1328	1473	1237	1146
ENSG00000184163.3	32	29	31	26	58	23
ENSG00000260179.1	12	10	15	11	15	9
ENSG00000160087.20	1991	2117	2281	2285	2115	2115
ENSG00000230415.1	42	33	52	47	53	42
ENSG00000162572.20	314	204	244	252	317	226
ENSG00000131584.18	2400	2173	2429	2677	2580	2216
ENSG00000278073.1	1	0	0	0	0	0
ENSG00000169972.11	603	656	720	724	653	669
ENSG00000127054.20	3558	3433	3875	3796	3990	3286
ENSG00000283712.1	0	0	0	0	0	0
ENSG00000240731.1	105	91	84	127	119	97
ENSG00000224051.6	813	803	821	1019	779	791
ENSG00000169962.4	32	23	19	24	23	22
ENSG00000107404.19	3647	3662	3859	4424	3548	3723
ENSG00000284372.1	0	0	0	0	0	0
ENSG00000162576.16	6	10	9	14	15	17
ENSG00000175756.13	3182	3230	3413	3743	3472	3455
ENSG00000223663.2	0	2	0	1	1	0
ENSG00000221978.11	6780	5897	7075	7045	7674	5883
ENSG00000224870.6	917	799	989	1004	949	847
ENSG00000242485.5	3260	3636	3794	3814	3623	3436
ENSG00000264293.2	0	0	0	0	0	0
